device_id,timestamp,packets_per_min,port_used,destination_ip,failed_connections
SENSOR_01,2026-03-14 18:00:00,20,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 18:00:00,64,443,192.168.1.20,2
CAM_03,2026-03-14 18:00:00,100,443,192.168.1.30,2
BULB_04,2026-03-14 18:00:00,6,8080,192.168.1.40,40
ROUTER_05,2026-03-14 18:00:00,158,6667,185.99.12.34,60
SENSOR_01,2026-03-14 19:00:00,21,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 19:00:00,65,443,192.168.1.20,2
CAM_03,2026-03-14 19:00:00,101,443,192.168.1.30,2
BULB_04,2026-03-14 19:00:00,7,443,192.168.1.40,42
ROUTER_05,2026-03-14 19:00:00,159,6667,185.99.12.34,60
SENSOR_01,2026-03-14 20:00:00,22,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 20:00:00,66,443,192.168.1.20,2
CAM_03,2026-03-14 20:00:00,102,443,192.168.1.30,2
BULB_04,2026-03-14 20:00:00,6,8080,192.168.1.40,44
ROUTER_05,2026-03-14 20:00:00,155,6667,185.99.12.34,60
SENSOR_01,2026-03-14 21:00:00,20,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 21:00:00,64,443,192.168.1.20,2
CAM_03,2026-03-14 21:00:00,100,443,192.168.1.30,2
BULB_04,2026-03-14 21:00:00,7,443,192.168.1.40,46
ROUTER_05,2026-03-14 21:00:00,156,6667,185.99.12.34,60
SENSOR_01,2026-03-14 22:00:00,21,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 22:00:00,65,443,192.168.1.20,2
CAM_03,2026-03-14 22:00:00,101,443,192.168.1.30,2
BULB_04,2026-03-14 22:00:00,6,8080,192.168.1.40,48
ROUTER_05,2026-03-14 22:00:00,157,6667,185.99.12.34,60
SENSOR_01,2026-03-14 23:00:00,22,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 23:00:00,66,443,192.168.1.20,2
CAM_03,2026-03-14 23:00:00,102,443,192.168.1.30,2
BULB_04,2026-03-14 23:00:00,7,443,192.168.1.40,50
ROUTER_05,2026-03-14 23:00:00,158,6667,185.99.12.34,60
