device_id,timestamp,packets_per_min,port_used,destination_ip,failed_connections
SENSOR_01,2026-03-14 06:00:00,20,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 06:00:00,68,443,192.168.1.20,2
CAM_03,2026-03-14 06:00:00,100,443,192.168.1.30,2
BULB_04,2026-03-14 06:00:00,5,443,192.168.1.40,10
ROUTER_05,2026-03-14 06:00:00,156,6667,185.99.12.34,60
SENSOR_01,2026-03-14 07:00:00,21,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 07:00:00,69,443,192.168.1.20,2
CAM_03,2026-03-14 07:00:00,101,443,192.168.1.30,2
BULB_04,2026-03-14 07:00:00,6,443,192.168.1.40,13
ROUTER_05,2026-03-14 07:00:00,157,6667,185.99.12.34,60
SENSOR_01,2026-03-14 08:00:00,22,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 08:00:00,70,443,192.168.1.20,2
CAM_03,2026-03-14 08:00:00,102,443,192.168.1.30,2
BULB_04,2026-03-14 08:00:00,5,443,192.168.1.40,16
ROUTER_05,2026-03-14 08:00:00,158,6667,185.99.12.34,60
SENSOR_01,2026-03-14 09:00:00,20,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 09:00:00,71,443,192.168.1.20,2
CAM_03,2026-03-14 09:00:00,100,443,192.168.1.30,2
BULB_04,2026-03-14 09:00:00,6,443,192.168.1.40,19
ROUTER_05,2026-03-14 09:00:00,159,6667,185.99.12.34,60
SENSOR_01,2026-03-14 10:00:00,21,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 10:00:00,72,443,192.168.1.20,2
CAM_03,2026-03-14 10:00:00,101,443,192.168.1.30,2
BULB_04,2026-03-14 10:00:00,5,443,192.168.1.40,22
ROUTER_05,2026-03-14 10:00:00,155,6667,185.99.12.34,60
SENSOR_01,2026-03-14 11:00:00,22,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 11:00:00,73,443,192.168.1.20,2
CAM_03,2026-03-14 11:00:00,102,443,192.168.1.30,2
BULB_04,2026-03-14 11:00:00,6,443,192.168.1.40,25
ROUTER_05,2026-03-14 11:00:00,156,6667,185.99.12.34,60
