device_id,timestamp,packets_per_min,port_used,destination_ip,failed_connections
SENSOR_01,2026-03-14 12:00:00,20,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 12:00:00,66,443,192.168.1.20,2
CAM_03,2026-03-14 12:00:00,100,443,192.168.1.30,2
BULB_04,2026-03-14 12:00:00,5,8080,192.168.1.40,28
ROUTER_05,2026-03-14 12:00:00,157,6667,185.99.12.34,60
SENSOR_01,2026-03-14 13:00:00,21,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 13:00:00,67,443,192.168.1.20,2
CAM_03,2026-03-14 13:00:00,101,443,192.168.1.30,2
BULB_04,2026-03-14 13:00:00,6,443,192.168.1.40,31
ROUTER_05,2026-03-14 13:00:00,158,6667,185.99.12.34,60
SENSOR_01,2026-03-14 14:00:00,22,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 14:00:00,68,443,192.168.1.20,2
CAM_03,2026-03-14 14:00:00,102,443,192.168.1.30,2
BULB_04,2026-03-14 14:00:00,5,8080,192.168.1.40,34
ROUTER_05,2026-03-14 14:00:00,159,6667,185.99.12.34,60
SENSOR_01,2026-03-14 15:00:00,20,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 15:00:00,69,443,192.168.1.20,2
CAM_03,2026-03-14 15:00:00,100,443,192.168.1.30,2
BULB_04,2026-03-14 15:00:00,6,443,192.168.1.40,37
ROUTER_05,2026-03-14 15:00:00,155,6667,185.99.12.34,60
SENSOR_01,2026-03-14 16:00:00,21,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 16:00:00,70,443,192.168.1.20,2
CAM_03,2026-03-14 16:00:00,101,443,192.168.1.30,2
BULB_04,2026-03-14 16:00:00,5,8080,192.168.1.40,40
ROUTER_05,2026-03-14 16:00:00,156,6667,185.99.12.34,60
SENSOR_01,2026-03-14 17:00:00,22,443,192.168.1.10,1
THERMOSTAT_02,2026-03-14 17:00:00,71,443,192.168.1.20,2
CAM_03,2026-03-14 17:00:00,102,443,192.168.1.30,2
BULB_04,2026-03-14 17:00:00,6,443,192.168.1.40,43
ROUTER_05,2026-03-14 17:00:00,157,6667,185.99.12.34,60
